armed_dt,direction,entry_price,touch_dt,regime_ratio,outcome_fixed_stop
2025-03-27 19:15 ET,bear,19973.5,2025-03-27 19:30 ET,0.6479,win
2025-03-28 12:30 ET,bear,19531.75,2025-03-28 12:45 ET,1.2295,win
2025-03-30 20:15 ET,bear,19198.0,2025-03-30 20:30 ET,0.6091,loss
2025-03-31 09:45 ET,bear,19127.5,2025-03-31 10:00 ET,1.0712,win
2025-03-31 22:30 ET,bull,19362.5,2025-03-31 23:30 ET,0.7873,win
2025-03-31 23:00 ET,bull,19373.75,2025-03-31 23:15 ET,0.7702,win
2025-04-01 19:30 ET,bull,19650.5,2025-04-01 19:45 ET,0.9228,loss
2025-04-02 11:30 ET,bull,19665.75,2025-04-02 11:45 ET,1.1049,loss
2025-04-03 09:00 ET,bear,18897.5,2025-04-03 09:15 ET,0.9725,loss
2025-04-03 11:00 ET,bear,18827.5,2025-04-03 11:15 ET,0.9533,loss
2025-04-03 23:15 ET,bear,18615.5,2025-04-04 01:30 ET,0.6525,win
2025-04-03 23:45 ET,bear,18568.25,2025-04-04 00:00 ET,0.6525,win
2025-04-04 07:30 ET,bear,18043.75,2025-04-04 07:45 ET,0.7495,ambiguous
2025-04-04 10:45 ET,bear,17905.75,2025-04-04 11:00 ET,1.3529,ambiguous
2025-04-04 12:30 ET,bear,17845.25,2025-04-04 13:45 ET,1.2644,win
2025-04-07 06:15 ET,bull,17046.5,2025-04-07 06:30 ET,4.5748,win
2025-04-07 10:15 ET,bull,17340.0,2025-04-07 10:30 ET,1.7634,ambiguous
2025-04-07 20:15 ET,bull,17804.5,2025-04-07 20:30 ET,1.4696,loss
2025-04-08 03:30 ET,bull,17827.0,2025-04-08 03:45 ET,1.4338,win
2025-04-08 06:45 ET,bull,17762.25,2025-04-08 07:15 ET,5.3754,win
2025-04-08 08:00 ET,bull,17968.5,2025-04-08 08:15 ET,0.9977,win
2025-04-08 10:15 ET,bull,18277.25,2025-04-08 10:30 ET,2.3259,ambiguous
2025-04-08 15:15 ET,bear,17315.75,2025-04-08 16:00 ET,1.2627,win
2025-04-08 19:30 ET,bear,16949.0,2025-04-08 19:45 ET,1.2513,ambiguous
2025-04-08 23:45 ET,bear,16974.5,2025-04-09 00:00 ET,1.5858,ambiguous
2025-04-09 05:00 ET,bull,17306.0,2025-04-09 05:15 ET,1.6212,win
