time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.2,Order Sent Long,Order Sent Short
1785835560,29028.75,29032.25,29025.5,29032.25,,267,672.2,-1,29064.913051430896,4,0,0
1785835620,29031.75,29040.5,29029.25,29030,,970,664.6,-1,29064.913051430896,4,0,0
1785835680,29029.25,29044.5,29027.75,29039,,830,678.75,-1,29064.913051430896,4,0,0
1785835740,29040,29045.75,29037.25,29045.25,29059.547759903337,355,646.7,-1,29064.913051430896,4,0,0
1785835800,29046,29050.75,29042.25,29045.75,,871,660.55,-1,29058.35870095393,4,0,0
1785835860,29046.25,29054.25,29045,29049.5,,649,662.2,-1,29058.35870095393,4,0,0
1785835920,29049,29052.75,29047,29051,,289,641.3,-1,29058.35870095393,4,0,0
1785835980,29051.75,29057,29048,29053.75,,485,619,-1,29058.35870095393,4,0,0
1785836040,29053.75,29055,29049.5,29053,29058.924163722066,247,585.55,-1,29058.35870095393,4,0,0
1785836100,29053,29058.25,29050.75,29054.5,,466,581.65,-1,29058.35870095393,4,0,0
1785836160,29054.5,29058.25,29050.5,29056.25,,414,549.3,-1,29058.35870095393,4,0,0
1785836220,29055.75,29059.5,29051,29053.75,,486,518.05,-1,29058.35870095393,4,0,0
1785836280,29052.75,29063.5,29051,29062.5,,511,516.25,1,29058.35870095393,4,0,0
1785836340,29062.25,29066.25,29061.5,29065.75,29059.574243367584,473,514.4,1,29058.35870095393,4,0,0
1785836400,29065.75,29081,29065.75,29071.75,,1174,550.95,1,29058.35870095393,4,0,0
1785836460,29071.75,29080.5,29071.75,29080.5,,494,557.65,1,29058.35870095393,4,0,0
1785836520,29079.75,29080.25,29076.25,29078.5,,445,549.6,1,29058.35870095393,4,0,0
1785836580,29078.25,29080.5,29075.25,29075.75,,285,529.6,1,29058.35870095393,4,0,0
1785836640,29075.75,29079,29074.25,29077,29061.23383923734,269,526.35,1,29058.35870095393,4,0,0
1785836700,29076.75,29086,29065.75,29083,,2517,624.85,1,29064.57246730262,4,0,0
1785836760,29082.75,29084.5,29060.25,29063.75,,1026,662.8,-1,29064.57246730262,4,0,0
