time,open,high,low,close,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.0,Order Sent Long,Order Sent Short,EMA,Volume,Volume MA
1785803220,28920,28920,28903.25,28904.75,-1,28945.152714357737,2,0,0,,1081,1353.2
1785803280,28906,28913.25,28903.75,28905.75,-1,28945.152714357737,2,0,0,,830,1359.3
1785803340,28907,28910.5,28903,28906.25,-1,28945.152714357737,2,0,0,28932.185142905157,531,1336.65
1785803400,28905.5,28906.75,28891.75,28897,-1,28932.185142905157,2,0,0,,2117,1392.65
1785803460,28897.5,28899.5,28890,28892.25,-1,28932.185142905157,2,0,0,,1278,1391.05
1785803520,28892.75,28895.75,28888.5,28891.75,-1,28932.185142905157,2,0,0,,910,1305.6
1785803580,28892.5,28904.5,28890.25,28897.5,-1,28932.185142905157,2,0,0,,1231,1322.7
1785803640,28897.5,28898.5,28881.5,28884,-1,28932.185142905157,2,0,0,,1526,1341.7
1785803700,28883.75,28883.75,28872.75,28872.75,-1,28932.185142905157,2,0,0,,1873,1278
1785803760,28873.5,28887.75,28873.25,28880,-1,28932.185142905157,2,0,0,,1437,1267.95
1785803820,28878.75,28885,28875.75,28877,-1,28932.185142905157,2,0,0,,907,1239.35
1785803880,28877.25,28885.75,28871.75,28885.25,-1,28932.185142905157,2,0,0,,1320,1204.75
1785803940,28884.5,28893,28877,28882.25,-1,28932.185142905157,2,0,0,,1359,1229.75
1785804000,28882.75,28888.5,28872.5,28875.75,-1,28932.185142905157,2,0,0,,1199,1233.9
1785804060,28876.5,28881.25,28870,28872.25,-1,28932.185142905157,2,0,0,,1266,1236
1785804120,28872,28879.5,28864,28869.75,-1,28932.185142905157,2,0,0,,1970,1283.65
1785804180,28869.5,28896.25,28869.25,28893.25,-1,28932.185142905157,2,0,0,,1840,1283.65
1785804240,28893,28896.25,28887,28892,-1,28932.185142905157,2,0,0,28918.790095270106,1269,1287.2
1785804300,28891.75,28896.25,28872.75,28879.75,-1,28918.790095270106,2,0,0,,2176,1341.05
1785804360,28879.75,28880.75,28870.5,28877.25,-1,28918.790095270106,2,0,0,,1042,1358.1
1785804420,28879,28882.75,28872.5,28878.5,-1,28918.790095270106,2,0,0,,571,1332.6
1785804480,28878.25,28900,28876,28896.75,-1,28918.790095270106,2,0,0,,1604,1371.3
1785804540,28896.75,28898.75,28889.75,28891.75,-1,28918.790095270106,2,0,0,,929,1391.2
1785804600,28891.5,28898,28882.5,28886.25,-1,28918.790095270106,2,0,0,,1176,1344.15
