time,open,high,low,close,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),Order Sent Long,Order Sent Short
1785762900,28460.75,28470.25,28458.75,28465,1669,1537.4,1,28462.548018721856,0,0
1785762960,28464.75,28475.75,28463.75,28472.75,1330,1531.65,1,28462.548018721856,0,0
1785763020,28472.5,28475.5,28459.75,28470.75,1602,1539.95,1,28462.548018721856,0,0
1785763080,28471.75,28496.5,28468.5,28489.5,2555,1591.9,1,28462.548018721856,0,0
1785763140,28489.75,28490.25,28477.5,28487,1229,1617.7,1,28462.548018721856,0,0
1785763200,28487,28490,28477.75,28479.25,1117,1574.1,1,28462.548018721856,0,0
1785763260,28478.75,28479,28466.75,28467.75,1499,1565.2,1,28462.548018721856,0,0
1785763320,28468,28477.75,28466.25,28473.25,1347,1513.4,1,28462.548018721856,0,0
1785763380,28473.75,28480,28464.75,28465.25,1223,1491.75,1,28462.548018721856,0,0
1785763440,28465,28480.75,28461.75,28471.25,1710,1490.85,1,28462.548018721856,0,0
1785763500,28471,28471,28433.5,28436.5,3687,1576.6,-1,28462.548018721856,0,0
1785763560,28436.25,28438.5,28424,28429.25,3109,1658.8,-1,28462.548018721856,0,0
1785763620,28429.5,28432.5,28402,28413,4719,1809.7,-1,28462.548018721856,0,0
1785763680,28412.5,28422.5,28397.5,28407.25,3689,1929.35,-1,28462.548018721856,0,0
1785763740,28407,28423.25,28396,28417,4071,2079.65,-1,28462.548018721856,0,0
1785763800,28417.5,28436.25,28354,28356.75,16111,2819.95,-1,28447.36534581457,0,0
1785763860,28358,28384,28336.75,28349.25,12334,3370.45,-1,28447.36534581457,0,0
1785763920,28350,28367.5,28313,28348.75,13706,3997.1,-1,28447.36534581457,0,0
1785763980,28349.25,28363.5,28324.25,28355.75,8922,4367.65,-1,28447.36534581457,0,0
1785764040,28355.75,28403,28351,28381.5,14033,4983.1,-1,28447.36534581457,0,0
1785764100,28381,28463,28374,28449,16871,5743.2,1,28447.36534581457,0,0
1785764160,28448.5,28502.25,28442.5,28501.5,14343,6393.85,1,28447.36534581457,0,0
1785764220,28501.5,28540.25,28486,28490.5,17767,7202.1,1,28447.36534581457,0,0
1785764280,28490.5,28506.75,28464,28502,13284,7738.55,1,28447.36534581457,0,0
1785764340,28502.75,28519.5,28476.5,28502.5,9363,8145.25,1,28447.36534581457,0,0
1785764400,28501.5,28522.25,28440,28470.5,14967,8837.75,1,28447.36534581457,0,0
1785764460,28470,28492.5,28451,28468,9558,9240.7,1,28447.36534581457,0,0
1785764520,28468,28481.75,28420,28434.25,11289,9737.8,-1,28447.36534581457,0,0
1785764580,28432.75,28448.25,28416,28440.25,5062,9929.75,-1,28447.36534581457,0,0
1785764640,28440.75,28499.5,28438.25,28492.25,8406,10264.55,1,28447.36534581457,0,0
1785764700,28494,28527,28485.25,28491,8963,10528.35,1,28462.326897209714,0,0
1785764760,28491,28503.5,28443.75,28449.75,9387,10842.25,-1,28462.326897209714,0,0
1785764820,28450.25,28496.5,28450.25,28496.5,7959,11004.25,1,28462.326897209714,0,0
1785764880,28496.25,28539,28481.5,28504.75,13624,11501,1,28462.326897209714,0,0
1785764940,28504.25,28509.75,28472.25,28475,7874,11691.15,1,28462.326897209714,0,0
1785765000,28475.25,28497.5,28455,28471.25,8023,11286.75,1,28462.326897209714,0,0
1785765060,28470.75,28507.25,28466.25,28504.5,6592,10999.65,1,28462.326897209714,0,0
1785765120,28505.25,28509,28478,28489.5,5693,10599,1,28462.326897209714,0,0
1785765180,28489.5,28524,28484.25,28522.75,6626,10484.2,1,28462.326897209714,0,0
