time,open,high,low,close,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1726437600,59875,59950,57545,57750,-2.391616665258176,-2.391616665258176,-3.549060542797495,-3.549060542797495,-3.549060542797495,-3.549060542797495,-3.549060542797495,-3.549060542797495,-3.549060542797495,-3.549060542797495,-3.549060542797495,-3.549060542797495,,
1726524000,58000,61565,57660,60235,1.8085016479337448,1.8085016479337448,0.6012526096033404,0.6012526096033404,3.853448275862069,3.853448275862069,3.853448275862069,3.853448275862069,3.853448275862069,3.853448275862069,3.853448275862069,3.853448275862069,,
1726610400,60440,61475,59240,60265,1.8592073016141302,1.8592073016141302,0.651356993736952,0.651356993736952,-0.28954334877564525,-0.28954334877564525,-0.28954334877564525,-0.28954334877564525,-0.28954334877564525,-0.28954334877564525,-0.28954334877564525,-0.28954334877564525,,
1726696800,60255,64040,60250,63125,6.693146285810868,6.693146285810868,5.427974947807933,5.427974947807933,4.763090199983404,4.763090199983404,4.763090199983404,4.763090199983404,4.763090199983404,4.763090199983404,4.763090199983404,4.763090199983404,,
1726783200,63155,64260,62440,62940,6.380461421448491,6.380461421448491,5.118997912317328,5.118997912317328,-0.3404322698123664,-0.3404322698123664,-0.3404322698123664,-0.3404322698123664,-0.3404322698123664,-0.3404322698123664,-0.3404322698123664,-0.3404322698123664,,
1727042400,62720,64890,62460,63365,7.098791515253951,7.098791515253951,1.0283801020408163,1.0283801020408163,1.0283801020408163,1.0283801020408163,1.0283801020408163,1.0283801020408163,1.0283801020408163,1.0283801020408163,1.0283801020408163,1.0283801020408163,,
1727128800,63370,64710,62745,64335,8.738274317586411,8.738274317586411,2.574936224489796,2.574936224489796,1.5228025879753826,1.5228025879753826,1.5228025879753826,1.5228025879753826,1.5228025879753826,1.5228025879753826,1.5228025879753826,1.5228025879753826,,
1727215200,64250,64965,63010,63500,7.326966956815685,7.326966956815685,1.2436224489795917,1.2436224489795917,-1.1673151750972763,-1.1673151750972763,-1.1673151750972763,-1.1673151750972763,-1.1673151750972763,-1.1673151750972763,-1.1673151750972763,-1.1673151750972763,,
1727301600,63830,66420,63030,65235,10.259443927997971,10.259443927997971,4.009885204081633,4.009885204081633,2.201159329468902,2.201159329468902,2.201159329468902,2.201159329468902,2.201159329468902,2.201159329468902,2.201159329468902,2.201159329468902,,
1727388000,65470,67110,65215,66260,11.991887095411139,11.991887095411139,5.644132653061225,5.644132653061225,1.2066595387200245,1.2066595387200245,1.2066595387200245,1.2066595387200245,1.2066595387200245,1.2066595387200245,1.2066595387200245,1.2066595387200245,,
