time,open,high,low,close,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1771563600,24901.5,24916.75,24900.75,24907,3191,-2.440266353309832,-2.440266353309832,0.4750042861320936,0.4750042861320936,0.2535823538882628,0.2535823538882628,0.022087022870108226,0.022087022870108226,0.022087022870108226,0.022087022870108226
1771564500,24907.25,24927.25,24905.25,24925.5,2833,-2.3678025851938895,-2.3678025851938895,0.549633409643293,0.549633409643293,0.32804701336338754,0.32804701336338754,0.09637973616047225,0.09637973616047225,0.09637973616047225,0.09637973616047225
1771565400,24925.5,24946.5,24925.25,24937,6197,-2.3227575401488445,-2.3227575401488445,0.596024486420525,0.596024486420525,0.3743358557398164,0.3743358557398164,0.14256169307069855,0.14256169307069855,0.046137489719363704,0.046137489719363704
1771566300,24936.75,24947.75,24932.5,24943,2473,-2.299255777516647,-2.299255777516647,0.6202285264782113,0.6202285264782113,0.3984865561101272,0.3984865561101272,0.16665662711081664,0.16665662711081664,0.07020922348598825,0.07020922348598825
1771567200,24942.75,24960,24939.75,24953.25,3659,-2.2591069330199764,-2.2591069330199764,0.6615770949100921,0.6615770949100921,0.43974400257607466,0.43974400257607466,0.042096400757735214,0.042096400757735214,0.042096400757735214,0.042096400757735214
1771568100,24953.5,24956.25,24943.75,24945.25,2837,-2.2904426165295733,-2.2904426165295733,0.6293050414998437,0.6293050414998437,0.4075430687489937,0.4075430687489937,0.010022952561365527,0.010022952561365527,0.010022952561365527,0.010022952561365527
1771569000,24944.75,24945.5,24932,24936.75,3409,-2.3237367802585194,-2.3237367802585194,0.5950159847514547,0.5950159847514547,0.37332957655772014,0.37332957655772014,-0.024055086147277263,-0.024055086147277263,-0.03207087663736859,-0.03207087663736859
1771569900,24937.25,24944.75,24930.5,24943.25,2862,-2.2982765374069722,-2.2982765374069722,0.6212370281472815,0.6212370281472815,0.39949283529222346,0.39949283529222346,0.0020045905122731056,0.0020045905122731056,-0.00601328936950661,-0.00601328936950661
1771570800,24943,24954.75,24937.75,24947.75,3886,-2.280650215432824,-2.280650215432824,0.6393900581905463,0.6393900581905463,0.4176058605699565,0.4176058605699565,0.019043418995309307,0.019043418995309307,0.019043418995309307,0.019043418995309307
1771571700,24948,24953,24939,24941,2803,-2.307089698394046,-2.307089698394046,0.6121605131256492,0.6121605131256492,0.3904363226533569,0.3904363226533569,-0.008018281682235496,-0.008018281682235496,-0.008018281682235496,-0.008018281682235496
1771572600,24940.5,24946,24924,24937.75,4497,-2.31981981981982,-2.31981981981982,0.5990499914277359,0.5990499914277359,0.3773546932861053,0.3773546932861053,-0.02104798941586818,-0.02104798941586818,-0.011026242457047775,-0.011026242457047775
1771573500,24937.75,24939.75,24908,24921.25,4927,-2.384449667058363,-2.384449667058363,0.5324888812690984,0.5324888812690984,0.31094026726775076,0.31094026726775076,-0.08719881329431103,-0.08719881329431103,-0.07718369719933442,-0.07718369719933442
1771574400,24922,24936,24906,24911.5,7023,-2.4226400313356837,-2.4226400313356837,0.49315731617535824,0.49315731617535824,0.27169537916599584,0.27169537916599584,-0.04213145012438809,-0.04213145012438809,-0.04213145012438809,-0.04213145012438809
1771575300,24912.25,24930.75,24896.25,24929.5,5163,-2.3521347434390916,-2.3521347434390916,0.5657694363484171,0.5657694363484171,0.34414748027692804,0.34414748027692804,0.030093892945991494,0.030093892945991494,0.030093892945991494,0.030093892945991494
1771576200,24929.75,24932,24897.75,24921.5,5828,-2.383470426948688,-2.383470426948688,0.5334973829381687,0.5334973829381687,0.31194654644984704,0.31194654644984704,-0.002006259529732766,-0.002006259529732766,-0.03309299130556865,-0.03309299130556865
1771577100,24921.5,24942.5,24916.75,24937.25,4326,-2.3217783000391696,-2.3217783000391696,0.5970329880895953,0.5970329880895953,0.37534213492191276,0.37534213492191276,0.06119091565684937,0.06119091565684937,0.030084537550516953,0.030084537550516953
1771578000,24937,24964.75,24932,24960.5,7184,-2.2307089698394047,-2.2307089698394047,0.6908236433131297,0.6908236433131297,0.46892609885686687,0.46892609885686687,0.09423747844568313,0.09423747844568313,0.09423747844568313,0.09423747844568313
1771578900,24960.5,24985.25,24959.5,24975.5,8115,-2.171954563258911,-2.171954563258911,0.7513337434573455,0.7513337434573455,0.5293028497826437,0.5293028497826437,0.15438906043228937,0.15438906043228937,0.15438906043228937,0.15438906043228937
1771579800,24975.25,24981.75,24950,24958,6080,-2.2405013709361534,-2.2405013709361534,0.680738626622427,0.680738626622427,0.45886330703590406,0.45886330703590406,0.08421221478124874,0.08421221478124874,-0.06906837769391698,-0.06906837769391698
1771580700,24957.75,24960.75,24931.5,24936,5537,-2.326674500587544,-2.326674500587544,0.5919904797442439,0.5919904797442439,0.37031073901143136,0.37031073901143136,-0.004010105465773749,-0.004010105465773749,-0.1571555840281879,-0.1571555840281879
1771581600,24935.75,24944.75,24924,24941.75,4767,-2.3041519780650215,-2.3041519780650215,0.61518601813286,0.61518601813286,0.39345516019964577,0.39345516019964577,0.024061838926039924,0.024061838926039924,0.024061838926039924,0.024061838926039924
1771582500,24941.5,24947,24919.75,24926.5,4991,-2.36388562475519,-2.36388562475519,0.5536674163195741,0.5536674163195741,0.33207213009177267,0.33207213009177267,-0.03709533501097821,-0.03709533501097821,-0.03709533501097821,-0.03709533501097821
