time,open,high,low,close,Regime Ratio (debug),Dynamic Stop (debug),EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Regime Ratio (debug),Current Session Stop (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1784098380,30024.25,30031.25,30024,30027.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,506,351.45
1784098440,30027,30030,30025.75,30028.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,253,336.05
1784098500,30029.5,30036.75,30025.75,30033.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,781,352.15
1784098560,30034.25,30036,30030.5,30031.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,412,354.7
1784098620,30031.5,30032.75,30026,30026,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,252,355.85
1784098680,30025.75,30030.25,30016,30028.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,1162,406.2
1784098740,30029.25,30035.75,30019,30031.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,835,435.1
1784098800,30031.5,30031.5,30010.5,30016.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1444,488.8
1784098860,30016.5,30017.75,30007.5,30011.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,764,509.5
1784098920,30011.25,30019,30010.75,30014,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,546,519.65
1784098980,30013.5,30031.75,30010.5,30026.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,883,551.65
1784099040,30028,30052.5,30027.25,30048,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1608,619
1784099100,30047,30062.5,30044.25,30054.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1637,688
1784099160,30055,30059.25,30047.75,30048,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1081,721.5
1784099220,30047.5,30050,30035,30038.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,706,736.55
1784099280,30038.75,30042.25,30036,30041,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,365,741.8
1784099340,30040.25,30045.5,30038,30041.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,627,754.6
1784099400,30041.5,30045,30037,30037,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,474,763.2
1784099460,30036.75,30042,30034.5,30041.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,308,757.7
1784099520,30041.25,30041.5,30033.25,30038.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,610,762.7
1784099580,30037.5,30049,30036.75,30040,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,798,777.3
1784099640,30040,30046,30035.25,30035.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,473,788.3
1784099700,30035.5,30036,30027,30028.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,918,795.15
1784099760,30027.75,30034.25,30016.25,30021,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1071,828.1
1784099820,30021,30027.5,30019.25,30027.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,459,838.45
1784099880,30027,30028.25,30014.25,30015,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,767,818.7
1784099940,30015,30024.25,30015,30018.75,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,438,798.85
1784100000,30018.5,30020.5,30008,30009.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,656,759.45
1784100060,30008.75,30015.25,29997.25,29999,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1210,781.75
1784100120,29999.5,29999.5,29993.25,29996,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,629,785.9
1784100180,29996.25,29998.5,29992,29993.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,478,765.65
1784100240,29993.25,29997.75,29987.5,29989.75,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,772,723.85
1784100300,29990.5,29990.75,29967.25,29970.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1638,723.9
1784100360,29970.5,29970.5,29945,29945.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,2546,797.15
1784100420,29945,29951.25,29928.25,29951.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,3153,919.5
1784100480,29949.75,29964.5,29949.75,29959.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1783,990.4
1784100540,29959.75,29968.5,29953,29967.75,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1021,1010.1
1784100600,29967.5,29968.5,29945.5,29957.75,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1783,1075.55
1784100660,29957.75,29958.25,29946.25,29953.75,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,950,1107.65
1784100720,29953.25,29963.5,29950,29960.75,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,1076,1130.95
1784100780,29959.5,29970.5,29959.25,29963.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,896,1135.85
1784100840,29963.5,29968.25,29954,29960.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,503,1137.35
1784100900,29960.5,29975.25,29959.5,29974.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,733,1128.1
1784100960,29975,29975,29967.25,29972.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,720,1110.55
1784101020,29972.25,29976.25,29968.75,29969.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,514,1113.3
1784101080,29969,29980.75,29968.25,29979.25,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,924,1121.15
1784101140,29979,29979.75,29972.25,29976.5,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,674,1132.95
1784101200,29976.25,29984,29975.25,29980.75,0.005543150144726208,21.25,1,1,1,0.005543150144726208,21.25,0,0,0,0,641,1132.2
