time,open,high,low,close,MA fast,MA slow,Cloud fast,Cloud medium,Cloud slow,Volume
1786092300,29626,29639.25,29615,29633.25,,,29626.481205421253,29603.391661930484,29603.391661930484,6590
1786093200,29633,29648.75,29625.75,29641.5,,,29633.990602710626,29611.01332954439,29611.01332954439,5856
1786094100,29641.5,29650.5,29623.75,29634.5,,,29634.245301355313,29615.71066363551,29615.71066363551,5610
1786095000,29634.25,29647.25,29621,29628.75,,,29631.49765067766,29618.318530908407,29618.318530908407,4710
1786095900,29628.75,29636.25,29615.75,29617.25,,,29624.37382533883,29618.104824726724,29618.104824726724,4813
1786096800,29618.25,29629.75,29608.75,29609,,,29616.686912669415,29616.28385978138,29616.28385978138,5500
1786097700,29609.5,29621.5,29592.25,29621.25,,,29618.968456334707,29617.277087825103,29617.277087825103,6866
1786098600,29621,29625.75,29609.75,29622.25,,,29620.609228167355,29618.27167026008,29618.27167026008,4166
1786099500,29621.25,29624.5,29600.5,29607.25,,,29613.929614083678,29616.067336208063,29616.067336208063,4418
1786100400,29606.75,29648.5,29606.25,29638,,,29625.96480704184,29620.45386896645,29620.45386896645,9291
1786101300,29637.25,29662,29635.75,29653,,,29639.48240352092,29626.96309517316,29626.96309517316,7742
1786102200,29653.25,29669.75,29646.75,29665.5,,,29652.49120176046,29634.670476138526,29634.670476138526,7182
1786103100,29666.25,29666.5,29612,29613.75,,,29633.12060088023,29630.48638091082,29630.48638091082,10015
1786104000,29614,29673,29604.75,29658.75,,,29645.935300440113,29636.139104728656,29636.139104728656,14124
1786104900,29658.5,29685.5,29596,29674.5,,,29660.217650220056,29643.811283782925,29643.811283782925,14822
1786105800,29667.25,29814,29647.5,29802,,,29731.10882511003,29675.44902702634,29675.44902702634,53747
1786106700,29802,29867.25,29801.75,29843.5,,,29787.304412555015,29709.05922162107,29709.05922162107,38253
1786107600,29843.75,29851.25,29734,29741,,,29764.152206277508,29715.447377296856,29715.447377296856,45850
1786108500,29742,29745.5,29686,29714.75,,,29739.451103138752,29715.307901837485,29715.307901837485,40848
1786109400,29714.5,29813,29683,29787.25,,,29763.350551569376,29729.696321469986,29729.696321469986,186944
1786110300,29787.5,29821.75,29644.25,29678.75,,,29721.050275784688,29719.50705717599,29719.50705717599,155633
1786111200,29679,29713,29564.25,29584.75,,,29652.900137892342,29692.55564574079,29692.55564574079,163702
1786112100,29585.5,29779,29568.25,29761,,,29706.95006894617,29706.244516592633,29706.244516592633,140782
1786113000,29760.75,29774.75,29660,29676,,,29691.475034473086,29700.195613274107,29700.195613274107,115387
1786113900,29676,29733.5,29666.25,29720.25,,,29705.862517236543,29704.206490619286,29704.206490619286,75335
1786114800,29721,29783,29708.75,29759.75,,,29732.80625861827,29715.31519249543,29715.31519249543,60470
1786115700,29760,29828.75,29746.75,29826.75,,,29779.778129309136,29737.602153996344,29737.602153996344,52496
1786116600,29826.25,29855,29793.75,29811.75,,,29795.76406465457,29752.431723197074,29752.431723197074,60905
1786117500,29812.25,29843.25,29796.25,29814.25,,,29805.007032327285,29764.79537855766,29764.79537855766,43023
1786118400,29814.5,29830.25,29794.25,29799.75,,,29802.37851616364,29771.78630284613,29771.78630284613,37097
1786119300,29800,29821.5,29689,29714.25,,,29758.31425808182,29760.279042276903,29760.279042276903,75583
1786120200,29714.25,29761.25,29669,29754.25,,,29756.282129040912,29759.073233821524,29759.073233821524,66446
1786121100,29754.75,29780.75,29738,29739.75,,,29748.016064520456,29755.20858705722,29755.20858705722,39070
1786122000,29740.25,29768.5,29726.25,29735.5,,,29741.75803226023,29751.266869645777,29751.266869645777,36413
1786122900,29735.5,29765,29725.5,29747.75,,,29744.754016130115,29750.563495716622,29750.563495716622,29333
1786123800,29747.75,29764.5,29727,29745.25,,,29745.002008065057,29749.5007965733,29749.5007965733,27572
1786124700,29745.5,29759.25,29735,29743.25,,,29744.12600403253,29748.25063725864,29748.25063725864,17587
1786125600,29743.5,29754.75,29712.75,29721,,,29732.563002016264,29742.80050980691,29742.80050980691,21862
1786126500,29721.25,29734.25,29702.75,29706,,,29719.281501008132,29735.44040784553,29735.44040784553,26044
1786127400,29706,29724.5,29678.75,29681,,,29700.140750504066,29724.552326276425,29724.552326276425,30034
1786128300,29681.5,29731,29676.75,29725.25,,,29712.695375252035,29724.69186102114,29724.69186102114,32764
1786129200,29724.75,29810,29722.75,29799.75,,,29756.222687626017,29739.70348881691,29739.70348881691,47358
1786130100,29800.5,29823.25,29791.75,29811,,,29783.61134381301,29753.962791053527,29753.962791053527,39036
1786131000,29811.25,29812,29772,29779.75,,,29781.680671906506,29759.120232842823,29759.120232842823,34849
1786131900,29779.5,29860.5,29778,29833.5,,,29807.590335953253,29773.996186274257,29773.996186274257,57154
1786132800,29833.5,29850.5,29805,29820,,,29813.795167976627,29783.196949019406,29783.196949019406,23046
1786133700,29820.75,29829.5,29803.75,29804.5,,,29809.147583988313,29787.457559215523,29787.457559215523,6295
1786134600,29805.5,29826,29802.5,29814.25,,,29811.698791994157,29792.81604737242,29792.81604737242,5125
1786135500,29814.25,29844,29812.75,29841,,,29826.34939599708,29802.452837897938,29802.452837897938,4681
1786312800,29851.5,29897,29820,29828,,,29827.17469799854,29807.56227031835,29807.56227031835,19216
1786313700,29828,29855,29805,29838.5,,,29832.83734899927,29813.74981625468,29813.74981625468,15433
1786314600,29838.5,29853.25,29814,29836,,,29834.418674499633,29818.199853003745,29818.199853003745,10143
1786315500,29837,29852.25,29830.5,29844.25,,,29839.334337249817,29823.409882402997,29823.409882402997,5658
1786316400,29845,29876.5,29833,29861.75,,,29850.54216862491,29831.077905922397,29831.077905922397,10103
1786317300,29861.75,29881.75,29855,29863.5,,,29857.021084312455,29837.56232473792,29837.56232473792,7819
1786318200,29864,29865.75,29834.25,29862.25,,,29859.635542156226,29842.499859790336,29842.499859790336,12328
1786319100,29863,29873.5,29827.75,29829.75,,,29844.692771078113,29839.94988783227,29839.94988783227,11450
1786320000,29829.25,29906.5,29797.75,29892.25,,,29868.47138553906,29850.409910265815,29850.409910265815,30519
1786320900,29892.25,29899.75,29839,29847,,,29857.73569276953,29849.72792821265,29849.72792821265,17342
1786321800,29846.25,29865.5,29800,29806.75,,,29832.242846384765,29841.13234257012,29841.13234257012,19652
1786322700,29806.75,29831.25,29788,29803,,,29817.62142319238,29833.505874056096,29833.505874056096,16646
1786323600,29802.5,29855,29791.5,29853,,,29835.31071159619,29837.40469924488,29837.40469924488,16980
1786324500,29852.5,29884.5,29846,29864.25,,,29849.780355798095,29842.773759395903,29842.773759395903,16774
1786325400,29864.5,29881.25,29841.25,29875.5,,,29862.640177899048,29849.319007516722,29849.319007516722,15445
1786326300,29875.25,29895,29871.5,29884.5,,,29873.570088949524,29856.355206013377,29856.355206013377,9122
1786327200,29885.75,29895.25,29869,29872.25,,,29872.91004447476,29859.534164810702,29859.534164810702,9853
1786328100,29873.5,29874,29852.25,29870,,,29871.45502223738,29861.627331848562,29861.627331848562,9175
1786329000,29869.75,29891.25,29848.5,29890,,,29880.72751111869,29867.30186547885,29867.30186547885,9566
1786329900,29889.5,29899.25,29880.5,29881,,,29880.863755559345,29870.04149238308,29870.04149238308,7016
