time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Volume,Volume MA
1785713940,28590,28590.75,28580.25,28581,1,0,0,395,815.9
1785714000,28580.25,28584.25,28578,28579.75,1,0,0,482,829.6
1785714060,28580,28584,28573.75,28578.5,1,0,0,719,844.1
1785714120,28578.75,28588.5,28578.75,28583,1,0,0,547,713.85
1785714180,28582.75,28586.25,28580,28586,1,0,0,408,651
1785714240,28584,28609.25,28583.25,28604.25,1,0,0,2213,709.75
1785714300,28604.25,28608,28575,28576.75,1,0,0,1826,759.75
1785714360,28577,28587.25,28570.5,28580.25,1,0,0,1234,785.6
1785714420,28582.25,28587.5,28575.25,28578.5,1,0,0,547,794.2
1785714480,28578.25,28594.5,28578.25,28591.5,1,0,0,664,793.85
1785714540,28592,28616,28591.75,28603,1,0,0,1281,845.1
1785714600,28603.5,28613.5,28602.5,28612.25,1,0,0,968,835.95
1785714660,28612.75,28635,28612.5,28633.25,1,0,0,2296,920
1785714720,28634,28637.75,28582.5,28611,1,1,0,3134,1051.55
1785714780,28611,28626.5,28601,28608.75,1,0,0,1910,1050.95
1785714840,28608,28613,28559,28591,1,1,0,2418,1135.3
1785714900,28591.25,28607,28577.25,28601.5,1,0,0,1700,1201.65
1785714960,28602,28604.5,28580,28581,1,0,0,1158,1242.7
1785715020,28581.25,28586.5,28579.25,28585.5,1,0,0,637,1258.6
1785715080,28586.25,28603.75,28581.5,28602.5,1,0,0,802,1266.95
1785715140,28602.75,28621.25,28599.5,28613.5,1,0,0,1822,1338.3
1785715200,28611.75,28611.75,28565,28580.25,1,0,0,2995,1463.95
1785715260,28581,28603,28571.5,28586.75,1,0,0,1776,1516.8
1785715320,28586.25,28596.25,28575,28590.5,1,0,0,1039,1541.4
1785715380,28589.25,28599,28565,28570,-1,0,0,1394,1590.7
1785715440,28570.75,28572.5,28562,28571,-1,0,0,1244,1542.25
1785715500,28570.5,28585.25,28563,28579.25,1,0,0,1550,1528.45
1785715560,28578.5,28583.75,28554.25,28568.75,-1,0,0,1726,1553.05
1785715620,28568.75,28587,28566.25,28584.75,1,0,0,1246,1588
1785715680,28583.75,28590,28576,28581.75,1,0,0,991,1604.35
1785715740,28581,28600,28580,28597.25,1,0,0,1209,1600.75
1785715800,28596,28614.75,28592,28598.25,1,0,0,2226,1663.65
