time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),Order Sent Long,Order Sent Short
1785758820,28386.25,28398.25,28384,28398,,1108,1377.35,-1,28468.98182966909,0,0
1785758880,28398,28414.5,28392,28413.5,,2129,1392.85,-1,28468.98182966909,0,0
1785758940,28413.5,28419,28410.25,28416.5,,1455,1390.55,-1,28468.98182966909,0,0
1785759000,28416.75,28418,28406.25,28413.75,,1449,1379.85,-1,28468.98182966909,0,0
1785759060,28414.25,28415.5,28406.5,28410.25,,745,1338.6,-1,28468.98182966909,0,0
1785759120,28409.5,28418.75,28408.75,28415.75,,925,1325.35,-1,28468.98182966909,0,0
1785759180,28415.25,28433.5,28413.75,28432,,1932,1344.1,-1,28468.98182966909,0,0
1785759240,28432.75,28435.75,28428,28435.5,28457.821219779395,1103,1348.3,-1,28468.98182966909,0,0
1785759300,28435.75,28447,28431.75,28443,,1522,1365.55,-1,28457.821219779395,0,0
1785759360,28444,28447.5,28425.25,28426.25,,1381,1374.3,-1,28457.821219779395,0,0
1785759420,28426.5,28438.25,28426,28438.25,,1226,1389.4,-1,28457.821219779395,0,0
1785759480,28437.5,28441.25,28433.5,28439,,761,1368.85,-1,28457.821219779395,0,0
1785759540,28439,28442,28425.5,28440.25,,1433,1380.35,-1,28457.821219779395,0,0
1785759600,28440.25,28447.75,28434,28447.75,,936,1331.3,-1,28457.821219779395,0,0
