time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1569250800,7796.6,7830.2,7794.8,7821.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45552,1.9580237257202426,1.9580237257202426,0.16777449059309504,0.16777449059309504,0.16777449059309504,0.16777449059309504,0.3155221506810591,0.3155221506810591
1569254400,7821.2,7834.6,7818.4,7823.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23128,1.9919176117846458,1.9919176117846458,0.2010732444512726,0.2010732444512726,0.2010732444512726,0.2010732444512726,0.0332429806167898,0.0332429806167898
1569258000,7823.8,7838.4,7820.8,7832.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20234,2.1092426020075634,2.1092426020075634,0.31633816165264045,0.31633816165264045,0.31633816165264045,0.31633816165264045,0.11503361537871623,0.11503361537871623
1569261600,7832.8,7834.6,7824,7830.2,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15962,2.0753487159431603,2.0753487159431603,0.28303940779446285,0.28303940779446285,0.28303940779446285,0.28303940779446285,-0.03319374936166331,-0.03319374936166331
1569265200,7830.2,7842.4,7815.8,7817,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27227,1.9032720636162168,1.9032720636162168,0.11398419589912573,0.11398419589912573,0.11398419589912573,0.11398419589912573,-0.16857806952568027,-0.16857806952568027
1569268800,7817,7846.3,7816.2,7844.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9652,2.2656759223047866,2.2656759223047866,0.4700247179211308,0.4700247179211308,0.4700247179211308,0.4700247179211308,0.3556351541512112,0.3556351541512112
1569276000,7844.8,7850.4,7842.9,7850,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585,2.333463694433581,2.333463694433581,0.5366222256374744,0.5366222256374744,0.06628594737915329,0.06628594737915329,0.06628594737915329,0.06628594737915329
1569279600,7850,7879.6,7849.6,7862,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12621,2.489897014730804,2.489897014730804,0.6903087819059648,0.6903087819059648,0.21925351825412778,0.21925351825412778,0.15286624203821655,0.15286624203821655
1569283200,7862,7868.3,7859.3,7859.8,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11151,2.4612175726763157,2.4612175726763157,0.6621329132567438,0.6621329132567438,0.19120946359371813,0.19120946359371813,-0.027982701602643323,-0.027982701602643323
1569286800,7859.8,7867.1,7847.6,7848.1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9437,2.3086950853865256,2.3086950853865256,0.512288520894968,0.512288520894968,0.042066081990620306,0.042066081990620306,-0.14885874958650117,-0.14885874958650117
