time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Cancelled (Long side),Cancelled (Short side),EMA,Volume,Volume MA
1785365160,27476.5,27477.25,27451.75,27454.75,1,0,0,0,0,,1710,1436.6
1785365220,27454.75,27459.25,27442.75,27443.25,1,0,0,0,0,,1006,1400.15
1785365280,27444.25,27450.75,27442,27446.25,1,0,0,0,0,,772,1309.25
1785365340,27446.5,27447.5,27439,27442.75,1,0,0,0,0,,548,1209.35
1785365400,27441.5,27462,27437,27443.5,1,0,0,0,0,,1628,1203.8
1785365460,27443.5,27450.25,27439,27444.5,1,0,0,0,0,,670,1180.2
1785365520,27444,27444,27428.75,27430.25,1,0,0,0,0,,1278,1211.05
1785365580,27429.5,27439,27420.5,27437.5,1,1,0,0,0,,1367,1206.8
1785365640,27437.5,27441,27428.25,27434.75,1,0,0,0,0,,800,1184
1785365700,27434,27438,27425,27432.75,1,0,0,0,0,,869,1179.45
1785365760,27433,27439,27430.5,27432.5,1,0,0,0,0,,514,1087.65
1785365820,27433.5,27439.5,27431,27436.75,1,0,0,0,0,,420,1035.95
1785365880,27437.5,27440.75,27433,27435,1,0,0,0,0,,455,1018.65
1785365940,27435,27452.75,27433.75,27450.5,1,0,0,0,0,27426.102855747977,1124,1015.5
1785366000,27450,27458,27444,27455.5,1,0,0,0,0,,1139,1006.65
1785366060,27455.5,27466,27455.5,27466,1,0,0,0,0,,1364,1032.5
1785366120,27466.25,27469.75,27460.25,27465,1,0,0,0,0,,1101,1043.5
1785366180,27466,27477,27464.5,27475.25,1,0,0,0,0,,1126,1055.25
1785366240,27475,27485.5,27472.25,27479.25,1,0,0,0,0,,1566,1065.15
1785366300,27478.25,27483,27473.75,27478.25,1,0,0,0,0,,1184,1032.05
1785366360,27478,27480.25,27471.25,27474.5,1,0,0,0,0,,1016,997.35
1785366420,27474.25,27478,27469.25,27471.5,1,0,0,0,0,,561,975.1
1785366480,27471.75,27521.5,27468.5,27520.25,1,0,0,0,0,,3409,1106.95
1785366540,27521,27524.75,27506,27508.25,1,0,0,0,0,,2089,1184
1785366600,27507.5,27508.5,27473.75,27478.75,1,0,0,0,0,,2222,1213.7
1785366660,27479.25,27482.25,27456,27472.5,1,1,0,0,0,,2620,1311.2
1785366720,27473.75,27495,27469.5,27490.25,1,0,0,0,0,,1492,1321.9
1785366780,27490,27493.75,27468.75,27473.25,1,0,0,0,0,,1599,1333.5
1785366840,27474.5,27480,27459.75,27478,1,0,0,0,0,27443.401903831986,1829,1384.95
1785366900,27478,27490.25,27473.75,27483.75,1,0,0,0,0,,1278,1405.4
1785366960,27484.25,27484.75,27472.5,27477.25,1,0,0,0,0,,766,1418
1785367020,27477.5,27499.5,27468.25,27495.5,1,0,0,0,0,,1663,1480.15
1785367080,27495.5,27510.75,27486.5,27508.25,1,0,0,0,0,,2340,1574.4
1785367140,27507.25,27514,27501.5,27511.75,1,0,0,0,0,,1282,1582.3
1785367200,27511.75,27515,27508.25,27511.25,1,0,0,0,0,,883,1569.5
1785367260,27510.5,27511.5,27497.5,27499,1,0,0,0,0,,1151,1558.85
1785367320,27499,27505.25,27495.75,27501.75,1,0,0,0,0,,888,1548.2
1785367380,27502,27528.5,27502,27519.5,1,0,0,0,0,,2228,1603.3
1785367440,27518.75,27520.75,27507,27513.25,1,0,0,0,0,,1144,1582.2
1785367500,27513.25,27531.25,27509.75,27526,1,0,0,0,0,,1784,1612.2
1785367560,27526,27529,27520.5,27521.25,1,0,0,0,0,,670,1594.9
1785367620,27520.75,27525.75,27519.75,27523.25,1,0,0,0,0,,650,1599.35
1785367680,27523.75,27540,27522.25,27537.5,1,0,0,0,0,,1617,1509.75
1785367740,27538.25,27541.5,27532.25,27534,1,0,0,0,0,27473.601269221323,935,1452.05
1785367800,27533.5,27547.5,27533,27541,1,0,0,0,0,,1493,1415.6
1785367860,27541,27555,27540.5,27549.75,1,0,0,0,0,,1689,1369.05
1785367920,27549.5,27559.25,27546.5,27554,1,0,0,0,0,,1067,1347.8
1785367980,27553.25,27553.75,27538.5,27541.75,1,0,0,0,0,,1511,1343.4
1785368040,27542,27545.75,27536.25,27540.75,1,0,0,0,0,,766,1290.25
1785368100,27540.75,27543,27537.25,27542,1,0,0,0,0,,493,1251
1785368160,27542.5,27547.5,27539.25,27539.75,1,0,0,0,0,,604,1242.9
1785368220,27539.25,27550,27536.25,27540.25,1,0,0,0,0,,948,1207.15
1785368280,27539.75,27550.75,27528,27534.5,1,1,0,0,0,,1326,1156.45
1785368340,27533.75,27557,27529.5,27535.75,1,0,0,0,0,,1998,1192.25
1785368400,27535.5,27536,27513.25,27514,1,0,0,0,0,,2041,1250.15
1785368460,27514.75,27516,27500.75,27505.75,1,1,0,0,0,,1842,1284.7
1785368520,27505.5,27517,27503.5,27509.25,1,0,0,0,0,,1234,1302
1785368580,27509.25,27522.5,27501.75,27520.25,1,0,0,0,0,,1070,1244.1
1785368640,27520,27531.5,27516.75,27523.25,1,0,0,0,0,27490.15084614755,1238,1248.8
